total_len,psh_rate,up_down_num_rate,up_time_min,down_time_min,up_len_sum,up_len_max,up_len_mean,down_len_max,down_len_mean,label
2321,0.5,1,0.194051981,0.194037914,422,161,60.28571429,577,271.2857143,1
2048,0.5,1,0.402036905,0.401659966,241,161,48.2,577,361.4,1
1965,0.5,1,0.158280849,0.158239126,583,161,72.875,577,172.75,1
2412,0.5,1,0.191049099,0.191056013,442,161,55.25,577,246.25,1
2902,0.5,1,0.109222889,0.109156847,442,161,55.25,577,307.5,1
3159,0.5,1,0.258782864,0.25878787,623,161,62.3,577,253.6,1
3175,0.5,1,0.100878954,0.100528002,623,161,62.3,577,255.2,1
4286,0.5,1,0.194748878,0.19474721,160,20,20,577,515.75,1
1989,0.5,1,0.191038847,0.191040993,60,20,20,643,643,1
3118,0.5,1,0.869490147,0.869489193,100,20,20,710,603.6,1
2985,0.5,1,0.703387976,0.703387022,100,20,20,577,577,1
2388,0.5,1,3.43534112,3.435342073,80,20,20,577,577,1
2521,0.5,1,2.609786034,2.609812975,80,20,20,710,610.25,1
1857,0.5,1,5.172319889,5.172318935,60,20,20,643,599,1
3348,0.5,1,0.135905027,0.136415958,643,161,58.45454545,643,245.9090909,1
3938,0.5,1,0.014029026,0.014027834,1146,161,76.4,577,186.1333333,1
1708,0.5,1,0.192378998,0.192397118,402,161,67,577,217.6666667,1
3673,0.5,1,0.034770966,0.034667015,985,161,70.35714286,577,192,1
3349,0.5,1,0.192492962,0.192495108,301,161,37.625,577,381,1
2181,0.5,1,0.470459938,0.470036983,241,161,48.2,710,388,1
1451,0.5,1,0.418431997,0.417934895,221,161,55.25,577,307.5,1
2048,0.5,1,0.398715973,0.398317099,241,161,48.2,577,361.4,1
1194,0.5,1,9.278074026,9.278073072,40,20,20,577,577,1
2388,0.5,1,0.862334967,0.862332106,80,20,20,577,577,1
2321,0.5,1,0.156178951,0.155745029,422,161,60.28571429,577,271.2857143,1
3946,0.5,1,0.187066078,0.187067032,321,161,35.66666667,577,402.7777778,1
2130,0.5,1,0.099775076,0.099349022,241,161,48.2,643,377.8,1
854,0.5,1,0.394172907,0.393795013,201,161,67,577,217.6666667,1
1584,0.5,1,0.403188944,0.402721882,221,161,55.25,710,340.75,1
1791,0.5,1,2.789602995,2.789602995,60,20,20,577,577,1
3364,0.5,1,0.083790779,0.083332062,643,161,58.45454545,643,247.3636364,1
3092,0.5,1,0.189259052,0.189248085,965,161,74.23076923,577,163.6153846,1
3855,0.5,1,0.088594913,0.088169098,301,161,37.625,577,444.25,1
3863,0.5,1,0.147246838,0.147687912,663,161,55.25,577,266.6666667,1
2985,0.5,1,0.306783915,0.306775808,100,20,20,577,577,1
2388,0.5,1,1.889129877,1.889109135,80,20,20,577,577,1
3118,0.5,1,0.919475079,0.919442892,100,20,20,710,603.6,1
4234,0.5,1,0.032483816,0.032110929,1347,161,74.83333333,577,160.3888889,1
2911,0.5,1,0.024466991,0.024060965,804,161,67,577,175.5833333,1
2759,0.5,1,0.111144066,0.111586094,764,161,76.4,577,199.5,1
3492,0.5,1,0.330888033,0.331335068,824,161,63.38461538,577,205.2307692,1
2627,0.5,1,0.196680069,0.196686029,100,20,20,643,505.4,1
2985,0.5,1,1.390398026,1.390398979,100,20,20,577,577,1
3051,0.5,1,0.514235973,0.514227867,100,20,20,643,590.2,1
1791,0.5,1,5.657825947,5.657828093,60,20,20,577,577,1
1972,0.5,1,1.251998186,1.252002954,221,161,55.25,577,437.75,1
4676,0.5,1,0.162865162,0.162360907,1186,161,69.76470588,644,205.2941176,1
3915,0.5,1,0.457597971,0.457226038,321,161,35.66666667,577,399.3333333,1
4701,0.5,1,0.013466835,0.013084888,1709,161,77.68181818,577,136,1
2288,0.5,1,0.029225111,0.029490948,764,161,76.4,643,152.4,1
2072,0.5,1,0.183012009,0.183665037,603,161,67,577,163.2222222,1
1791,0.5,1,0.789672852,0.789685965,60,20,20,577,577,1
2985,0.5,1,0.18939209,0.189394951,100,20,20,577,577,1
1708,0.5,1,0.396394014,0.395999908,402,161,67,577,217.6666667,1
1708,0.5,1,0.39549017,0.395048857,402,161,67,577,217.6666667,1
2985,0.5,1,2.432169914,2.432170868,100,20,20,577,577,1
1451,0.5,1,0.394290209,0.393923998,221,161,55.25,577,307.5,1
1965,0.5,1,0.392739058,0.393143892,583,161,72.875,577,172.75,1
1111,0.5,1,0.399576902,0.399101973,382,161,76.4,577,145.8,1
1028,0.5,1,0.083637953,0.083176136,724,161,90.5,56,38,1
3225,0.5,1,0.167082071,0.166716099,623,161,62.3,643,260.2,1
1194,0.5,1,12.62357616,12.62357378,40,20,20,577,577,1
2562,0.5,1,0.332896948,0.332903862,603,161,67,577,217.6666667,1
2305,0.5,1,0.393261909,0.392785072,422,161,60.28571429,577,269,1
2064,0.5,1,0.103288889,0.102929831,241,161,48.2,577,364.6,1
3946,0.5,1,0.18937397,0.18938303,321,161,35.66666667,577,402.7777778,1
4179,0.5,1,0.631790876,0.63151288,140,20,20,577,577,1
2985,0.5,1,1.072133064,1.072149038,100,20,20,577,577,1
4617,0.5,1,0.235116005,0.234729052,482,161,48.2,577,413.5,1
1732,0.5,1,0.001560926,0.001913071,261,161,43.5,643,245.1666667,1
3971,0.5,1,0.189492941,0.189491987,301,161,37.625,643,458.75,1
1451,0.5,1,0.405640125,0.405271053,221,161,55.25,577,307.5,1
1584,0.5,1,0.424021959,0.423600912,221,161,55.25,710,340.75,1
5820,0.5,1,0.197081804,0.197082043,884,161,55.25,577,308.5,1
2819,0.5,1,0.296260834,0.296310902,784,161,71.27272727,577,185,1
2661,0.5,1,0.188021898,0.188029051,261,161,43.5,577,400,1
3779,0.5,1,0.18958497,0.189585924,1005,161,67,577,184.9333333,1
2985,0.5,1,0.641373873,0.641392946,100,20,20,577,577,1
3714,0.5,1,0.212887049,0.212886095,120,20,20,643,599,1
2984,0.5,1,0.183148146,0.18276906,442,161,55.25,643,317.75,1
2305,0.5,1,0.393804789,0.393396854,422,161,60.28571429,577,269,1
4179,0.5,1,0.639982939,0.639984846,140,20,20,577,577,1
2644,0.5,1,0.147509098,0.147104025,603,161,67,643,226.7777778,1
3582,0.5,1,0.564515114,0.564516068,120,20,20,577,577,1
2645,0.5,1,0.405241013,0.404809952,261,161,43.5,577,397.3333333,1
4502,0.5,1,0.431653023,0.431291103,321,161,35.66666667,643,464.5555556,1
1708,0.5,1,0.309559822,0.309939861,402,161,67,577,217.6666667,1
3308,0.5,1,0.395734072,0.395360947,281,161,40.14285714,643,432.4285714,1
1791,0.5,1,4.836682081,4.836700916,60,20,20,577,577,1
3499,0.5,1,0.119791985,0.120181084,462,161,51.33333333,577,337.4444444,1
1194,0.5,1,0.923918009,0.923902988,40,20,20,577,577,1
2048,0.5,1,0.393280029,0.392866135,241,161,48.2,577,361.4,1
1857,0.5,1,5.138900042,5.138916016,60,20,20,643,599,1
1451,0.5,1,0.408067942,0.407716036,221,161,55.25,577,307.5,1
2711,0.5,1,0.188914061,0.18887496,261,161,43.5,643,408.3333333,1
1451,0.5,1,0.417721987,0.416718006,221,161,55.25,577,307.5,1
2114,0.5,1,0.40464592,0.403869152,241,161,48.2,643,374.6,1
5439,0.5,1,0.389247179,0.389234066,180,20,20,643,584.3333333,1
3242,0.5,1,0.400745869,0.399749994,281,161,40.14285714,577,423,1
1791,0.5,1,1.990307093,1.990328074,60,20,20,577,577,1
2388,0.5,1,0.388520002,0.388519049,80,20,20,577,577,1
2478,0.5,1,0.188945055,0.188944101,442,161,55.25,643,254.5,1
3499,0.5,1,0.396042109,0.395591974,462,161,51.33333333,577,337.4444444,1
1791,0.5,1,6.664199829,6.664201975,60,20,20,577,577,1
3929,0.5,1,0.189813137,0.189783096,663,161,55.25,643,272.1666667,1
2048,0.5,1,0.412798166,0.412410021,241,161,48.2,577,361.4,1
2388,0.5,1,0.394603968,0.394622803,80,20,20,577,577,1
2388,0.5,1,0.567433119,0.567433119,80,20,20,577,577,1
2412,0.5,1,0.205789089,0.205764055,442,161,55.25,577,246.25,1
2048,0.5,1,0.392379999,0.391993046,241,161,48.2,577,361.4,1
2181,0.5,1,0.393968105,0.393599987,241,161,48.2,710,388,1
1127,0.5,1,0.190147877,0.190149069,382,161,76.4,577,149,1
2038,0.5,1,3.594198942,3.594192028,221,161,55.25,643,454.25,1
76,0.5,1,0,0,20,20,20,56,56,1
2901,0.5,1,0.077237129,0.076683044,784,161,71.27272727,643,192.4545455,1
4776,0.5,1,0.496358871,0.496361017,160,20,20,577,577,1
2645,0.5,1,0.40120697,0.400844097,261,161,43.5,577,397.3333333,1
854,0.5,1,0.410765171,0.410368204,201,161,67,577,217.6666667,1
4353,0.5,1,0.108017921,0.108500957,663,161,55.25,577,307.5,1
3565,0.5,1,0.304449081,0.304451942,462,161,51.33333333,643,344.7777778,1
3416,0.5,1,0.168937922,0.169436932,804,161,67,577,217.6666667,1
3075,0.5,1,0.189741135,0.189730883,462,161,51.33333333,643,290.3333333,1
4369,0.5,1,0.049921989,0.050323963,663,161,55.25,577,308.8333333,1
2305,0.5,1,0.425333977,0.424898863,422,161,60.28571429,577,269,1
2645,0.5,1,0.19814992,0.198169947,261,161,43.5,577,397.3333333,1
597,0.5,1,0,0,20,20,20,577,577,1
3142,0.5,1,0.187708139,0.188076019,965,161,74.23076923,643,167.4615385,1
597,0.5,1,0,0,20,20,20,577,577,1
1841,0.5,1,0.135564089,0.135486841,402,161,67,710,239.8333333,1
2114,0.5,1,0.193841934,0.193847895,583,161,72.875,695,191.375,1
2388,0.5,1,0.200505018,0.200444937,80,20,20,577,577,1
4179,0.5,1,0.557317019,0.557315111,140,20,20,577,577,1
597,0.5,1,0,0,20,20,20,577,577,1
2752,0.5,1,0.022758007,0.023181915,281,161,40.14285714,577,353,1
597,0.5,1,0,0,20,20,20,577,577,1
2180,0.5,1,0.391697884,0.391273022,241,161,48.2,643,387.8,1
1368,0.5,1,0.39290905,0.392499924,563,161,80.42857143,577,115,1
1194,0.5,1,11.53620505,11.53618693,40,20,20,577,577,1
2752,0.5,1,0.187577009,0.187577963,281,161,40.14285714,577,353,1
2562,0.5,1,0.01070118,0.011101961,603,161,67,577,217.6666667,1
1517,0.5,1,0.39724803,0.396865845,221,161,55.25,643,324,1
1791,0.5,1,1.450956106,1.450971127,60,20,20,577,577,1
3608,0.5,1,0.192420959,0.192370892,442,161,55.25,696,395.75,1
2985,0.5,1,1.351950884,1.351947069,100,20,20,577,577,1
1451,0.5,1,0.425733089,0.425305843,221,161,55.25,577,307.5,1
4708,0.5,1,0.063124895,0.063049078,1347,161,74.83333333,577,186.7222222,1
160,0,100,1.003352165,0,160,40,40,0,0,1
1270,0.5,1,4.04846406,4.048474073,60,20,20,577,403.3333333,1
60,0,1,0,0,40,40,40,20,20,1
597,0.5,1,0,0,20,20,20,577,577,1
3051,0.5,1,2.024200916,2.024221897,100,20,20,643,590.2,1
3822,0.5,1,0.0512712,0.050791025,643,161,58.45454545,643,289,1
2645,0.5,1,0.407233953,0.406697989,261,161,43.5,577,397.3333333,1
2388,0.5,1,2.642763853,2.642762899,80,20,20,577,577,1
3242,0.5,1,0.399347067,0.398832083,281,161,40.14285714,577,423,1
2388,0.5,1,3.304225922,3.304239988,80,20,20,577,577,1
1708,0.5,1,0.396177053,0.395606995,402,161,67,577,217.6666667,1
1774,0.5,1,0.408505917,0.407410145,402,161,67,643,228.6666667,1
2048,0.5,1,0.402858019,0.402488947,241,161,48.2,577,361.4,1
2645,0.5,1,0.392968893,0.392492056,261,161,43.5,577,397.3333333,1
1467,0.5,1,0.191200018,0.190781832,221,161,55.25,577,311.5,1
2711,0.5,1,0.780006886,0.779671907,261,161,43.5,643,408.3333333,1
1051,0.5,1,0.187422037,0.187427998,362,161,90.5,577,172.25,1
3194,0.5,1,0.290366888,0.29037118,120,20,20,710,512.3333333,1
3242,0.5,1,0.402405024,0.401911974,281,161,40.14285714,577,423,1
3582,0.5,1,0.217264175,0.217262983,120,20,20,577,577,1
2371,0.5,1,0.396458864,0.396049023,422,161,60.28571429,643,278.4285714,1
2902,0.5,1,0.393182993,0.392769814,442,161,55.25,577,307.5,1
2371,0.5,1,0.402050972,0.401628017,422,161,60.28571429,643,278.4285714,1
2321,0.5,1,0.144903898,0.144550085,422,161,60.28571429,577,271.2857143,1
3499,0.5,1,0.304636955,0.304608107,462,161,51.33333333,577,337.4444444,1
3839,0.5,1,0.363314152,0.363316059,301,161,37.625,577,442.25,1
6308,0.5,1,0.045468092,0.045990944,723,161,48.2,643,372.3333333,1
1194,0.5,1,4.450047016,4.450047016,40,20,20,577,577,1
4436,0.5,1,0.421965122,0.421367168,321,161,35.66666667,577,457.2222222,1
1517,0.5,1,0.393452883,0.393128872,221,161,55.25,643,324,1
2902,0.5,1,0.398164988,0.397795916,442,161,55.25,577,307.5,1
2454,0.5,1,4.514960051,4.514961004,80,20,20,643,593.5,1
1451,0.5,1,0.396031141,0.395629168,221,161,55.25,577,307.5,1
1758,0.5,1,0.393624067,0.393259048,744,161,82.66666667,710,112.6666667,1
1791,0.5,1,2.17079401,2.170813084,60,20,20,577,577,1
2645,0.5,1,0.189486027,0.189518213,261,161,43.5,577,397.3333333,1
2403,0.5,1,0.376367092,0.376395941,925,161,84.09090909,577,134.3636364,1
1527,0.5,1,0.394989967,0.39460516,241,161,48.2,577,257.2,1
1368,0.5,1,0.120229959,0.11982584,563,161,80.42857143,577,115,1
2645,0.5,1,0.391551018,0.391061068,261,161,43.5,577,397.3333333,1
3092,0.5,1,0.19946599,0.199466944,120,20,20,577,495.3333333,1
854,0.5,1,0.428201914,0.427802086,201,161,67,577,217.6666667,1
2902,0.5,1,0.342431068,0.342416048,442,161,55.25,577,307.5,1
5579,0.5,1,0.189062119,0.189045191,703,161,50.21428571,577,348.2857143,1
3499,0.5,1,0.195881128,0.195886135,462,161,51.33333333,577,337.4444444,1
3855,0.5,1,0.169514894,0.169925928,301,161,37.625,577,444.25,1
2902,0.5,1,0.372726202,0.372727156,442,161,55.25,577,307.5,1
1791,0.5,1,3.372800112,3.372805834,60,20,20,577,577,1
2454,0.5,1,1.341677904,1.341688156,80,20,20,643,593.5,1
2196,0.5,1,0.189577103,0.189584017,241,161,48.2,643,391,1
2645,0.5,1,0.397423983,0.396965027,261,161,43.5,577,397.3333333,1
2048,0.5,1,0.408838987,0.408426046,241,161,48.2,577,361.4,1
2048,0.5,1,0.419242144,0.41848588,241,161,48.2,577,361.4,1
2305,0.5,1,0.390616179,0.390202045,422,161,60.28571429,577,269,1
2048,0.5,1,0.443242073,0.442860126,241,161,48.2,577,361.4,1
2968,0.5,1,0.392823935,0.392421007,442,161,55.25,643,315.75,1
1791,0.5,1,2.059036016,2.059041023,60,20,20,577,577,1
3499,0.5,1,0.285823107,0.285850048,462,161,51.33333333,577,337.4444444,1
3051,0.5,1,0.582169056,0.582174063,100,20,20,643,590.2,1
2578,0.5,1,0.036017179,0.035586834,603,161,67,577,219.4444444,1
2902,0.5,1,0.401747942,0.401376963,442,161,55.25,577,307.5,1
1451,0.5,1,0.404537916,0.404043913,221,161,55.25,577,307.5,1
1451,0.5,1,0.397708178,0.397242069,221,161,55.25,577,307.5,1
2048,0.5,1,0.421996117,0.421582937,241,161,48.2,577,361.4,1
1774,0.5,1,0.397032022,0.396687031,402,161,67,643,228.6666667,1
2181,0.5,1,0.429013968,0.428580999,241,161,48.2,710,388,1
2371,0.5,1,0.165009975,0.165424824,422,161,60.28571429,643,278.4285714,1
2048,0.5,1,0.428928137,0.42847681,241,161,48.2,577,361.4,1
854,0.5,1,0.393523932,0.393063068,201,161,67,577,217.6666667,1
4436,0.5,1,0.188650846,0.188631058,321,161,35.66666667,577,457.2222222,1
2968,0.5,1,0.159858942,0.160329103,442,161,55.25,643,315.75,1
2048,0.5,1,0.403455019,0.402959108,241,161,48.2,577,361.4,1
1708,0.5,1,0.277675867,0.27768302,402,161,67,577,217.6666667,1
1708,0.5,1,0.25299716,0.253005028,402,161,67,577,217.6666667,1
2985,0.5,1,0.464905977,0.464907169,100,20,20,577,577,1
4112,0.5,1,0.09976387,0.099352121,482,161,48.2,577,363,1
3166,0.5,1,0.790362835,0.790367842,261,161,43.5,577,484.1666667,1
2124,0.5,1,0.44611311,0.445645094,261,161,43.5,577,310.5,1
1194,0.5,1,1.249309063,1.249306202,40,20,20,577,577,1
1111,0.5,1,0.401658058,0.401243925,382,161,76.4,577,145.8,1
3100,0.5,1,0.394956112,0.394576073,442,161,55.25,643,332.25,1
2645,0.5,1,0.019374132,0.019732952,261,161,43.5,577,397.3333333,1
3242,0.5,1,0.392297029,0.391810894,281,161,40.14285714,577,423,1
2305,0.5,1,0.39970994,0.399278879,422,161,60.28571429,577,269,1
854,0.5,1,0.398260832,0.397770882,201,161,67,577,217.6666667,1
2985,0.5,1,1.440032005,1.440031052,100,20,20,577,577,1
2645,0.5,1,0.469269991,0.46887207,261,161,43.5,577,397.3333333,1
1194,0.5,1,9.590286016,9.590308905,40,20,20,577,577,1
2968,0.5,1,0.080615044,0.081125975,442,161,55.25,643,315.75,1
2562,0.5,1,0.394877195,0.394400835,603,161,67,577,217.6666667,1
4436,0.5,1,0.249885082,0.249831915,321,161,35.66666667,577,457.2222222,1
1451,0.5,1,0.456753016,0.456298113,221,161,55.25,577,307.5,1
4096,0.5,1,0.349339008,0.349324226,482,161,48.2,577,361.4,1
