ip1,ip2,port1,port2,total_num,total_len,flow_time,psh_rate,up_down_len_rate,up_down_num_rate,flow_pkts_rate,flow_bytes_rate,up_time_max,up_time_min,up_time_mean,down_time_max,down_time_min,down_time_mean,up_len_sum,up_len_max,up_len_min,up_len_mean,down_len_sum,down_len_max,down_len_min,down_len_mean,label
192.168.23.177,107.174.170.252,43896,3333,14,2321,7.23112607,0.5,0.222222222,1,1.936074667,320.9735216,2.999171972,0.194051981,1.205187678,2.999189138,0.194037914,1.205115159,422,161,20,60.28571429,1899,577,20,271.2857143,1
107.174.170.252,192.168.23.177,3333,43896,10,2048,5.291642904,0.5,0.133370227,1,1.889772266,387.02536,3.086382151,0.402036905,1.322896242,3.086403131,0.401659966,1.322901726,241,161,20,48.2,1807,577,20,361.4,1
107.174.170.252,192.168.23.177,3333,43896,16,1965,12.06825113,0.5,0.421852388,1,1.325792762,162.8239236,10.01985216,0.158280849,1.724022865,10.02031112,0.158239126,1.724030869,583,161,20,72.875,1382,577,20,172.75,1
107.174.170.252,192.168.23.177,3333,43896,16,2412,14.26911497,0.5,0.224365482,1,1.1213029,169.0364122,8.729932785,0.191049099,2.038438865,8.729924917,0.191056013,2.038439717,442,161,20,55.25,1970,577,20,246.25,1
192.168.23.177,107.174.170.252,43896,3333,16,2902,14.80052185,0.5,0.179674797,1,1.081042963,196.0741675,8.608481884,0.109222889,2.114360264,8.608476877,0.109156847,2.114302124,442,161,20,55.25,2460,577,20,307.5,1
192.168.23.177,107.174.170.252,43896,3333,20,3159,12.90496778,0.5,0.245662461,1,1.549790773,244.7894526,4.853326082,0.258782864,1.433885309,4.853323221,0.25878787,1.433840646,623,161,20,62.3,2536,577,20,253.6,1
107.174.170.252,192.168.23.177,3333,43896,20,3175,11.61366415,0.5,0.244122257,1,1.722109383,273.3848645,6.200584888,0.100878954,1.290401353,6.201050043,0.100528002,1.29039979,623,161,20,62.3,2552,577,20,255.2,1
107.174.170.252,192.168.23.177,3333,43896,16,4286,13.75863624,0.5,0.038778478,1,1.162905954,311.5134325,6.009083986,0.194748878,1.965514728,6.009082794,0.19474721,1.965514149,160,20,20,20,4126,577,87,515.75,1
107.174.170.252,192.168.23.177,3333,43896,6,1989,7.622225046,0.5,0.031104199,1,0.78717172,260.9474252,7.431138039,0.191038847,3.811088443,7.431150198,0.191040993,3.811095595,60,20,20,20,1929,643,643,643,1
107.174.170.252,192.168.23.177,3333,43896,10,3118,11.20223403,0.5,0.033134526,1,0.892679083,278.337338,4.787015915,0.869490147,2.800549269,4.787034035,0.869489193,2.800549507,100,20,20,20,3018,710,577,603.6,1
107.174.170.252,192.168.23.177,3333,43896,10,2985,10.87803316,0.5,0.034662045,1,0.919283831,274.4062236,4.777911901,0.703387976,2.719497502,4.777937889,0.703387022,2.719499052,100,20,20,20,2885,577,577,577,1
107.174.170.252,192.168.23.177,3333,43896,8,2388,12.97775912,0.5,0.034662045,1,0.616439242,184.0071138,5.958113909,3.43534112,4.325907707,5.958112001,3.435342073,4.325908025,80,20,20,20,2308,577,577,577,1
107.174.170.252,192.168.23.177,3333,43896,8,2521,13.80130005,0.5,0.032773454,1,0.579655538,182.6639513,8.217554092,2.609786034,4.600412687,8.218404055,2.609812975,4.60041968,80,20,20,20,2441,710,577,610.25,1
107.174.170.252,192.168.23.177,3333,43896,6,1857,11.95312381,0.5,0.033388982,1,0.501960834,155.3568782,6.780767918,5.172319889,5.976543903,6.78076601,5.172318935,5.976542473,60,20,20,20,1797,643,577,599,1
192.168.23.177,107.174.170.252,43896,3333,22,3348,14.48729181,0.5,0.237707948,1,1.518572297,231.0990931,5.82881093,0.135905027,1.448729181,5.828811884,0.136415958,1.448694181,643,161,20,58.45454545,2705,643,20,245.9090909,1
192.168.23.177,107.174.170.252,43896,3333,30,3938,14.424124,0.5,0.410458453,1,2.079849008,273.0148465,3.053690195,0.014029026,1.030294572,3.05369997,0.014027834,1.030264071,1146,161,20,76.4,2792,577,20,186.1333333,1
192.168.23.177,107.174.170.252,43896,3333,12,1708,10.07251382,0.5,0.307810107,1,1.191360987,169.5703804,5.102900028,0.192378998,2.014502764,5.103284121,0.192397118,2.014404392,402,161,20,67,1306,577,20,217.6666667,1
107.174.170.252,192.168.23.177,3333,43896,28,3673,11.47140718,0.5,0.366443452,1,2.440851377,320.1873967,3.304778099,0.034770966,0.882370013,3.304771185,0.034667015,0.882412929,985,161,20,70.35714286,2688,577,20,192,1
192.168.23.177,107.174.170.252,43896,3333,16,3349,12.37584996,0.5,0.098753281,1,1.292840496,270.6076763,3.846313,0.192492962,1.767978566,3.846313,0.192495108,1.767922708,301,161,20,37.625,3048,577,20,381,1
192.168.23.177,107.174.170.252,43896,3333,10,2181,14.411273,0.5,0.124226804,1,0.693901226,151.3398573,7.647660017,0.470459938,3.602818251,7.64765811,0.470036983,3.602728486,241,161,20,48.2,1940,710,20,388,1
107.174.170.252,192.168.23.177,3333,43896,8,1451,12.05597997,0.5,0.179674797,1,0.663571109,120.3552099,9.216267109,0.418431997,4.018647671,9.216721058,0.417934895,4.018647989,221,161,20,55.25,1230,577,20,307.5,1
107.174.170.252,192.168.23.177,3333,43896,10,2048,14.29801607,0.5,0.133370227,1,0.699397731,143.2366553,7.301762104,0.398715973,3.574494541,7.301837921,0.398317099,3.574493527,241,161,20,48.2,1807,577,20,361.4,1
107.174.170.252,192.168.23.177,3333,43896,4,1194,9.278110027,0.5,0.034662045,1,0.431122285,128.6900022,9.278074026,9.278074026,9.278074026,9.278073072,9.278073072,9.278073072,40,20,20,20,1154,577,577,577,1
107.174.170.252,192.168.23.177,3333,43896,8,2388,13.88779688,0.5,0.034662045,1,0.576045291,171.9495195,10.14214706,0.862334967,4.629252672,10.14214993,0.862332106,4.629253308,80,20,20,20,2308,577,577,577,1
107.174.170.252,192.168.23.177,3333,43896,14,2321,13.33961511,0.5,0.222222222,1,1.049505543,173.9930261,5.653326988,0.156178951,2.223263184,5.653327942,0.155745029,2.223262151,422,161,20,60.28571429,1899,577,20,271.2857143,1
107.174.170.252,192.168.23.177,3333,43896,18,3946,14.26433587,0.5,0.088551724,1,1.261888402,276.6339797,4.492533922,0.187066078,1.783037603,4.492534876,0.187067032,1.783037245,321,161,20,35.66666667,3625,577,20,402.7777778,1
107.174.170.252,192.168.23.177,3333,43896,10,2130,14.22492814,0.5,0.127580731,1,0.702991249,149.737136,9.90039897,0.099775076,3.556217253,9.900827885,0.099349022,3.556221783,241,161,20,48.2,1889,643,20,377.8,1
107.174.170.252,192.168.23.177,3333,43896,6,854,13.96510983,0.5,0.307810107,1,0.429642164,61.15240128,13.57090092,0.394172907,6.982536912,13.57126999,0.393795013,6.982532501,201,161,20,67,653,577,20,217.6666667,1
192.168.23.177,107.174.170.252,43896,3333,8,1584,12.12447,0.5,0.162142333,1,0.659822656,130.644886,10.07963109,0.403188944,4.041489998,10.079633,0.402721882,4.041337967,221,161,20,55.25,1363,710,20,340.75,1
107.174.170.252,192.168.23.177,3333,43896,6,1791,6.459218025,0.5,0.034662045,1,0.928905012,277.2781462,3.669577837,2.789602995,3.229590416,3.669579029,2.789602995,3.229591012,60,20,20,20,1731,577,577,577,1
